,Chức năng,,QUẢN LÝ ĐẶT HÀNG,,,,,,,
,Mã Testcase,,CTKM,,,,,,,
,Tổng các tình huống kiểm thử,,76,,,,,,,
,Chưa thực hiện,,47,,,,,,,
,Đạt yêu cầu,,22,,,,,,,
,Không đạt yêu cầu,,7,,,,,,,
,Thực hiện sau,,0,,,,,,,
,Không phải thực hiện,,0,,,,,,,
,,,,,,,,,,
ID,Tình huống,Điều kiện cần có,Các bước thực hiện,"Ưu tiên
(Cao/ TB/ Thấp)",Ứng dụng/ màn hình,Kết quả mong  muốn,Kết quả thực tế,Kết quả,Người thực hiện,Ngày thực hiện
,KIỂM THỬ GIAO DIỆN,,,,,,,,,
,Kiểm tra giao diện màn Danh sách CTKM,,,,,,,,,
CTKM_1,Kiểm tra giao diện bảng danh sách CTKM,,Vào màn danh sách CTKM và quan sát,,,"Hiển thị lần lượt các cột
1. STT
2. Mã CTKM
3. Tên CTKM
4. Loại CTKM: dữ liệu cột hiển thị dạng tag
5. Trạng thái: dữ liệu cột hiển thị dạng tag
6. Đối tượng áp dụng
7. Phạm vi áp dụng
8. Thời gian hiệu lực
9. Thao tác",Cột Loại khuyến mại chưa hiển thị dạng tag,Fail,Đức Anh,
,Kiểm tra giao diện màn Tạo CTKM,,,,,,,,,
CTKM_2,Chọn phạm vi áp dụng cấp Bưu điện tỉnh,Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Vào tab Phạm vi áp dụng
4. Chọn Áp dụng cho ""Bưu điện tỉnh"".
5. Tích checkbox 1 vài tỉnh
6. Nhấn ""Hiển thị các đơn vị đã chọn""",Trung bình,Thêm mới CTKM/Tab Phạm vi áp dụng,"- Hiển thị danh sách theo 1 cột (Cấp Tổng công ty / Cấp Tỉnh
)
- Khi tích 1 vài tỉnh, checkbox ở header hiển thị dạng indeterminate
- Nhấn xem đơn vị đã chọn → hiển thị đúng tổng hợp các tỉnh đã chọn và checkbox ở header hiển thị dạng iactive
","- Hiển thị danh sách theo 1 cột (Cấp Tổng công ty / Cấp Tỉnh
)
- Khi tích 1 vài tỉnh, checkbox ở header hiển thị dạng indeterminate
- Nhấn xem đơn vị đã chọn → hiển thị đúng tổng hợp các tỉnh đã chọn và checkbox ở header hiển thị dạng iactive
",Pass,,
